igdb_id,category_id,game_name,genre_id
273456,88617210,Midnight Ramen,13
273456,88617210,Midnight Ramen,32
273456,88617210,Midnight Ramen,34
273654,298000691,Little-Known Galaxy,12
273654,298000691,Little-Known Galaxy,13
273654,298000691,Little-Known Galaxy,31
273654,298000691,Little-Known Galaxy,32
276667,1674138128,Goofy Gorillas,32
276667,1674138128,Goofy Gorillas,33
282494,1310496449,The Bonerooms,32
289695,890825196,Creatures of Ava,31
289695,890825196,Creatures of Ava,32
291825,469455346,Sea Fantasy,12
291825,469455346,Sea Fantasy,31
291825,469455346,Sea Fantasy,32
294183,1715920432,The Game of Sisyphus,31
294183,1715920432,The Game of Sisyphus,32
308894,1678760515,Sushi Ou,32
313201,847200227,Forknite,9
314444,1203807358,SubwaySim 2,13
331274,1217001614,Bathhouse Creatures,13
331274,1217001614,Bathhouse Creatures,15
331274,1217001614,Bathhouse Creatures,32
331274,1217001614,Bathhouse Creatures,33
334859,2120289823,Cannon Guys,4
334859,2120289823,Cannon Guys,15
334859,2120289823,Cannon Guys,32
334859,2120289823,Cannon Guys,33
334859,2120289823,Cannon Guys,35
337013,1459140345,Who Is Ethan?,31
337013,1459140345,Who Is Ethan?,32
338800,1660218779,Double Shoulders,8
338800,1660218779,Double Shoulders,9
338800,1660218779,Double Shoulders,15
338800,1660218779,Double Shoulders,31
338800,1660218779,Double Shoulders,32
348267,345368364,Dungeons & Dragons Neverwinter Nights 2: Enhanced Edition,12
348267,345368364,Dungeons & Dragons Neverwinter Nights 2: Enhanced Edition,31
352873,2132042371,Mega Man Battle Network 6: Cybeast Gregar,12
361573,7304872,Rule34dle,26
361573,7304872,Rule34dle,32
363421,2137190526,College Baseball: Dynasty Builder,13
363421,2137190526,College Baseball: Dynasty Builder,14
363421,2137190526,College Baseball: Dynasty Builder,15
363421,2137190526,College Baseball: Dynasty Builder,16
364208,709424993,Sokker,14
364208,709424993,Sokker,32
372827,213129009,Fragments of Dread: Fale Haven,31
372827,213129009,Fragments of Dread: Fale Haven,32
382645,897154255,Game of Fate 3,12
382645,897154255,Game of Fate 3,13
382645,897154255,Game of Fate 3,31
382645,897154255,Game of Fate 3,32
382645,897154255,Game of Fate 3,34
46,21152,Overlord II,12
46,21152,Overlord II,15
46,21152,Overlord II,25
46,21152,Overlord II,31
65,319652285,The Secret of Monkey Island: Special Edition,2
65,319652285,The Secret of Monkey Island: Special Edition,9
65,319652285,The Secret of Monkey Island: Special Edition,31
836,4796,Prince of Persia: The Sands of Time,8
836,4796,Prince of Persia: The Sands of Time,9
836,4796,Prince of Persia: The Sands of Time,31
1254,12004,DmC: Devil May Cry,9
1254,12004,DmC: Devil May Cry,25
1254,12004,DmC: Devil May Cry,31
1820,19729,Dragon Quest IX: Sentinels of the Starry Skies,12
1820,19729,Dragon Quest IX: Sentinels of the Starry Skies,16
